Tweets,Cl_Tweets,Subjectivity,Polarity,Sentiment
"📈 #Ethereum $ETH Number of Addresses Holding 0.01+ Coins just reached an ATH of 23,173,031

Previous ATH of 23,172,950 was observed on 16 June 2022

View metric:
https://t.co/XXb0u19ouH https://t.co/07b8ERF2pk",eth number addresses holding 0 01 coins just reached ath 23 173 031 previous ath 23 172 950 was observed 16 june 2022 view metric,0.16666666666666666,-0.16666666666666666,Negative
"Slow 19.2 | Normal 19.2 | Fast 34.5 | Instant 73.9 👈 current Ethereum gas prices in gwei. DM me a price and I will DM you as soon as gas drops below that price 👍 #Ethereum #GasPrice #ETHGasPrice #ETH

Have you used the other bots in my family? @AVAXGas, @FTMGas",slow 19 2 normal 19 2 fast 34 5 instant 73 9 current ethereum gas prices gwei dm me price i will dm you as soon as gas drops below that price have you used other bots my family,0.5152777777777777,-0.012500000000000006,Negative
"#Ethereum 
 Price Now: $1091.12
 ₿0.0529147
 Market Cap: $132298355658.86215 #ETH",price now 1091 12 0 0529147 market cap 132298355658 86215,0.0,0.0,Neutral
"#Bitcoin Last Price $20605 #BTC 🚀
Daily Indicators:
•Pivot Fibonacci:
 -Support 1: 27775
 -S2: 24635
 -S3: 19554
 -Middle: 32857
 -Resistance 1: 37938

#Ethereum Last Price $1090 #ETH
•Pivot:
 -S1: 1724
 -S2: 1426
 -S3: 944
 -M: 2206
 -R1: 2688

#Crypto #DeFi
(3/3)
119069",last price 20605 daily indicators pivot fibonacci support 1 27775 s2 24635 s3 19554 middle 32857 resistance 1 37938 last price 1090 pivot s1 1724 s2 1426 s3 944 m 2206 r1 2688 3 3 119069,0.03333333333333333,0.0,Neutral
"MrBustANut93 found #ethereum in a User vault at this location! Join me playing #coinhuntworld, It's awesome! https://t.co/upvpeRBlkP #cryptocurrency #129636 https://t.co/N5laqq1B1o",mrbustanut93 found user vault at this location join me playing its awesome,1.0,1.0,Positive
Get out staked #Ethereum on #Lido while you can. This is why #Cardano is superior in every way. No need for wrapped tokens ready to collapse. https://t.co/JFDlrkkUg8,get out staked while you can this is why is superior every way no need wrapped tokens ready collapse,0.7,0.44999999999999996,Positive
"#Ethereum Price 
 
 Three months ago: $2684.14 
 
 One month ago: $2842.59 
 
 One week ago: $2008.82 
 
  Now: $1090.0 #ETH #ETHUSDT",price three months ago 2684 14 one month ago 2842 59 one week ago 2008 82 now 1090 0,0.0,0.0,Neutral
"🚨 $MINA just pumped 1.3% in under 60 seconds

#MINA #MINAUSDT #Bitcoin #Ethereum #Blockchain #Crypto  #Cryptocurrency 

WhaleRider 🐳 Advanced Trading HUD: 
• https://t.co/2MtQBq43Fc
• https://t.co/SkO1Ccn7nZ

https://t.co/pKKLF6TQjJ",mina just pumped 1 3 under 60 seconds whalerider advanced trading hud,0.6,0.4,Positive
"Unicorn #928 in our protector case!

If you'd like your NFT in a gem then check out our pinned tweet!

#nft #nfts #metaverse #ethereum #eth #polygon #metamask #matic #bayc #handmade https://t.co/6MZ5q6tDCk",unicorn our protector case if youd like your nft gem then check out our pinned tweet,0.0,0.0,Neutral
"Boxer Movie Star 
https://t.co/6a76jMD81m

#nft #nftart #opensea #OpenSeaNFT #PolygonNFT #Ethereum #boxer #dog #cute #pet #pets #famous #movies #movie @opensea @0xPolygon @ethereum https://t.co/P3G2pqbuwu",boxer movie star,0.0,0.0,Neutral
"One of most awaited project just love their work
@BrineFinance #brine #dex #ethereum",one most awaited project just love their work,0.55,0.5,Positive
"Apparently, it's a star's night for me. I guess the cosmos is telling my insignificant ass to get out and take more night photos.  

Look what I found! Light Pollution  collectible https://t.co/zWxbWjSxCd #rarible #ethereum #nonfungible #digitalasset #nft via @rarible",apparently its stars night me i guess cosmos is telling my insignificant ass get out take more night photos look what i found light pollution collectible via,0.5874999999999999,0.11250000000000002,Positive
"#Bitcoin Last Price $20626 #BTC 🚀
Daily Indicators:
•Variation since 00h00(UTC): +1.12%
•MACD:
 -MACD Line: -2598
 -Signal Line: -1718

#Ethereum Last Price $1091 #ETH
•Variation: +2.1%
•MACD:
 -MACD Line: -247
 -Signal Line: -198

#Crypto #Web3
(2/3)
119068",last price 20626 daily indicators variation since 00h00 utc 1 12 macd macd line 2598 signal line 1718 last price 1091 variation 2 1 macd macd line 247 signal line 198 2 3 119068,0.044444444444444446,0.0,Neutral
"I'm very optimistic about the future of this project.
@brinefinance #brine #dex #ethereum",im very optimistic about future this project,0.2125,0.1,Positive
"Read this thread and grow rich.

#Solana #SolanaSummer #Crypto #Bitcoin #ETH #Ethereum https://t.co/qeidtekkcB",read this thread grow rich,0.75,0.375,Positive
"🚨 #Ethereum gas prices are down -30.23% in the last hour!

⛽ Current Price: 23.82 Gwei",gas prices are down 30 23 last hour current price 23 82 gwei,0.2518518518518518,-0.051851851851851864,Negative
@WatcherGuru crypto overtake #ethereum,crypto overtake,0.0,0.0,Neutral
"1 Bitcoin ( #BTC )
Dollar: 20,569.93$ 

1 Bitcoin Cash ( #BCH )
Dollar: 1,13.00$ 

1 Ethereum ( #ETH )
Dollar: 1,087.06$ 

1 Ripple ( #XRP )
Dollar: 0.32467$ 

Date: 17 Jun 2022 3:12

#Bitcoin #Ethereum #cryptocurrency #crypto #altcoin #Blockchain #Ripple",1 bitcoin dollar 20 569 93 1 bitcoin cash dollar 1 13 00 1 ethereum dollar 1 087 06 1 ripple dollar 0 32467 date 17 jun 2022 3 12,0.0,0.0,Neutral
Requesting faucet funds into 0x1CD729f08461Cd8E0EA1cd3748Cdd3aae7E369Ec on the #Rinkeby #Ethereum test network.,requesting faucet funds into 0x1cd729f08461cd8e0ea1cd3748cdd3aae7e369ec test network,0.0,0.0,Neutral
"🚨 $BAND just pumped 1.67% in under 60 seconds

#BAND #BANDUSDT #Bitcoin #Ethereum #Blockchain #Crypto  #Cryptocurrency 

WhaleRider 🐳 Advanced Trading HUD: 
• https://t.co/2MtQBq43Fc
• https://t.co/SkO1Ccn7nZ

https://t.co/pKKLF6TQjJ",band just pumped 1 67 under 60 seconds whalerider advanced trading hud,0.6,0.4,Positive
"#Ethereum which is better, LOG or no LOG? #ETH $ETH https://t.co/qSsPxnXFi2",which is better log or no log eth,0.5,0.5,Positive
"@RichardHeartWin Impressive, #Ethereum is also quite impressive. Can’t wait to see #pulsechain",impressive is also quite impressive can t wait see,1.0,1.0,Positive
"#BTC #bitcoin I always don't understand why people always prefer to hold a certain currency and then spend a long time waiting for the price to come to a certain range, instead of short or long during that time to make more money.stupid #ETH #Ethereum #crypto #cryptocurrency",i always dont understand why people always prefer hold certain currency then spend long time waiting price come certain range instead short or long during that time make more money stupid,0.5346938775510204,0.004081632653061226,Positive
"#Bitcoin Last Price $20572 #BTC 🚀
Daily Indicators:
•Pivot Fibonacci:
 -Support 1: 27775
 -S2: 24635
 -S3: 19554
 -Middle: 32857
 -Resistance 1: 37938

#Ethereum Last Price $1087 #ETH
•Pivot:
 -S1: 1724
 -S2: 1426
 -S3: 944
 -M: 2206
 -R1: 2688

#Crypto #DeFi
(3/3)
119066",last price 20572 daily indicators pivot fibonacci support 1 27775 s2 24635 s3 19554 middle 32857 resistance 1 37938 last price 1087 pivot s1 1724 s2 1426 s3 944 m 2206 r1 2688 3 3 119066,0.03333333333333333,0.0,Neutral
