Tweets,Cl_Tweets,Subjectivity,Polarity,Sentiment
"The $BNB price is at $214.6 right now.
🔴 Compared to the last tweet, the price has dropped by $0.2 (0.09%).
🔴 In the last 24 hours the price has dropped by $16.1 (6.98%).

#BinanceCoin #BNB https://t.co/IHxc0zVVkv",bnb price is at 214 6 right now compared last tweet price has dropped by 0 2 0 09 last 24 hours price has dropped by 16 1 6 98,0.223015873015873,0.09523809523809523,Positive
"The $BNB price is at $214.8 right now.
🔴 Compared to the last tweet, the price has dropped by $0.5 (0.23%).
🔴 In the last 24 hours the price has dropped by $17.4 (7.49%).

#BinanceCoin #BNB https://t.co/mZnMAodRqG",bnb price is at 214 8 right now compared last tweet price has dropped by 0 5 0 23 last 24 hours price has dropped by 17 4 7 49,0.223015873015873,0.09523809523809523,Positive
"The $BNB price is at $215.3 right now.
🟢 Compared to the last tweet, the price has increased by $0.1 (0.05%).
🔴 In the last 24 hours the price has dropped by $16.6 (7.16%).

#BinanceCoin #BNB https://t.co/GKmbW5KEBw",bnb price is at 215 3 right now compared last tweet price has increased by 0 1 0 05 last 24 hours price has dropped by 16 6 7 16,0.223015873015873,0.09523809523809523,Positive
"The $BNB price is at $215.2 right now.
🔴 Compared to the last tweet, the price has dropped by $1.1 (0.51%).
🔴 In the last 24 hours the price has dropped by $15.6 (6.76%).

#BinanceCoin #BNB https://t.co/fk0GiBsluP",bnb price is at 215 2 right now compared last tweet price has dropped by 1 1 0 51 last 24 hours price has dropped by 15 6 6 76,0.223015873015873,0.09523809523809523,Positive
"The $BNB price is at $216.3 right now.
🟢 Compared to the last tweet, the price has increased by $1 (0.46%).
🔴 In the last 24 hours the price has dropped by $16 (6.89%).

#BinanceCoin #BNB https://t.co/Kzgmp8mDZw",bnb price is at 216 3 right now compared last tweet price has increased by 1 0 46 last 24 hours price has dropped by 16 6 89,0.223015873015873,0.09523809523809523,Positive
"The $BNB price is at $215.3 right now.
🟢 Compared to the last tweet, the price has increased by $1.9 (0.89%).
🔴 In the last 24 hours the price has dropped by $18.7 (7.99%).

#BinanceCoin #BNB https://t.co/6LMLrZ4ovd",bnb price is at 215 3 right now compared last tweet price has increased by 1 9 0 89 last 24 hours price has dropped by 18 7 7 99,0.223015873015873,0.09523809523809523,Positive
"The $BNB price is at $213.4 right now.
🟢 Compared to the last tweet, the price has increased by $1 (0.47%).
🔴 In the last 24 hours the price has dropped by $19.4 (8.33%).

#BinanceCoin #BNB https://t.co/o97hhhfNRw",bnb price is at 213 4 right now compared last tweet price has increased by 1 0 47 last 24 hours price has dropped by 19 4 8 33,0.223015873015873,0.09523809523809523,Positive
"Top 5 #cryptocurrencies 
 Alert Time: 2022-06-17 04:30:04
#Bitcoin: $20,557.32587
#Ethereum: $1,074.08485
#Tether: $1.00177
#USDCoin: $1.00646
#BinanceCoin: $213.09296
#instacrypto #fomo #dapps #zcash

https://t.co/PFpyoSBGBe",top 5 alert time 2022 06 17 04 30 04 20 557 32587 1 074 08485 1 00177 1 00646 213 09296,0.5,0.5,Positive
"The $BNB price is at $212.4 right now.
🔴 Compared to the last tweet, the price has dropped by $0.4 (0.19%).
🔴 In the last 24 hours the price has dropped by $22.6 (9.62%).

#BinanceCoin #BNB https://t.co/bNlWmlEIdb",bnb price is at 212 4 right now compared last tweet price has dropped by 0 4 0 19 last 24 hours price has dropped by 22 6 9 62,0.223015873015873,0.09523809523809523,Positive
"🔴 Sell $BNB [Spot Hourly]
#BNBUSDT
Average Cost: $210.4
Sell Price: $212.9
Filled: 0.2851711 #BNB / 60.71 #USDT
PNL: $0.71 / 1.19%

#BinanceCoin #Binance #Bitcoin #Metaverse #NFT #Web3 #Altcoins",sell bnb average cost 210 4 sell price 212 9 filled 0 2851711 60 71 pnl 0 71 1 19,0.65,0.125,Positive
