Tweets,Cl_Tweets,Subjectivity,Polarity,Sentiment
"Boston Celtics - Golden State Warriors

Bet slip link: https://t.co/atALvrP7Tw

#BostonCeltics #GoldenStateWarriors #usdcoin #usdc #winner https://t.co/NW6yi3S2rc",boston celtics golden state warriors bet slip link,0.5,0.3,Positive
"USDCoin - USDC
Price: $1.00
Change in 1h: -0.02766157%
Market cap: $54,602,429,868.91
Ranking: 4
#USDCoin #USDC",usdcoin usdc price 1 00 change 1h 0 02766157 market cap 54 602 429 868 91 ranking 4,0.0,0.0,Neutral
"USDCoin - USDC
Price: $1.00
Change in 1h: +0.01380166%
Market cap: $54,606,053,804.92
Ranking: 4
#USDCoin #USDC",usdcoin usdc price 1 00 change 1h 0 01380166 market cap 54 606 053 804 92 ranking 4,0.0,0.0,Neutral
"Top 5 #cryptocurrencies 
 Alert Time: 2022-06-17 04:30:04
#Bitcoin: $20,557.32587
#Ethereum: $1,074.08485
#Tether: $1.00177
#USDCoin: $1.00646
#BinanceCoin: $213.09296
#instacrypto #fomo #dapps #zcash

https://t.co/PFpyoSBGBe",top 5 alert time 2022 06 17 04 30 04 20 557 32587 1 074 08485 1 00177 1 00646 213 09296,0.5,0.5,Positive
"USDCoin - USDC
Price: $1.00
Change in 1h: -0.02472328%
Market cap: $54,598,518,303.44
Ranking: 4
#USDCoin #USDC",usdcoin usdc price 1 00 change 1h 0 02472328 market cap 54 598 518 303 44 ranking 4,0.0,0.0,Neutral
"USDCoin - USDC
Price: $1.00
Change in 1h: +0.02986562%
Market cap: $54,609,637,982.80
Ranking: 4
#USDCoin #USDC",usdcoin usdc price 1 00 change 1h 0 02986562 market cap 54 609 637 982 80 ranking 4,0.0,0.0,Neutral
@BTCTigre @Bitcoin Remember #USDCoin is falling against so many things like #UYU #hodlmoarBTC,remember is falling against so many things like,0.5,0.5,Positive
"USDCoin - USDC
Price: $1.00
Change in 1h: +0.00164747%
Market cap: $54,593,333,342.63
Ranking: 4
#USDCoin #USDC",usdcoin usdc price 1 00 change 1h 0 00164747 market cap 54 593 333 342 63 ranking 4,0.0,0.0,Neutral
"Top 5 #cryptocurrencies 
 Alert Time: 2022-06-17 01:30:05
#Bitcoin: $20,607.94645
#Ethereum: $1,097.06694
#Tether: $1.00212
#USDCoin: $1.00718
#BinanceCoin: $214.31207
#btc #FreeCoin #dapps #coinmarketcap

https://t.co/PFpyoSBGBe",top 5 alert time 2022 06 17 01 30 05 20 607 94645 1 097 06694 1 00212 1 00718 214 31207,0.5,0.5,Positive
"USDCoin - USDC
Price: $1.00
Change in 1h: -0.02360525%
Market cap: $54,549,423,645.23
Ranking: 4
#USDCoin #USDC",usdcoin usdc price 1 00 change 1h 0 02360525 market cap 54 549 423 645 23 ranking 4,0.0,0.0,Neutral
"USDCoin - USDC
Price: $1.00
Change in 1h: -0.01025374%
Market cap: $54,545,398,765.28
Ranking: 4
#USDCoin #USDC",usdcoin usdc price 1 00 change 1h 0 01025374 market cap 54 545 398 765 28 ranking 4,0.0,0.0,Neutral
"#USDCoin (#USDC) issuer #Circle Internet Financial is launching a fully-reserved #stablecoin #pegged to the #euro, signaling to the market that demand for crypto foreign exchange services remains high despite recent industry turmoil. https://t.co/B52XVEpMh1",issuer internet financial is launching fully reserved signaling market that demand crypto foreign exchange services remains high despite recent industry turmoil,0.22874999999999998,0.00875,Positive
"USDCoin - USDC
Price: $1.00
Change in 1h: +0.01481343%
Market cap: $54,650,768,791.98
Ranking: 4
#USDCoin #USDC",usdcoin usdc price 1 00 change 1h 0 01481343 market cap 54 650 768 791 98 ranking 4,0.0,0.0,Neutral
"Top 5 #cryptocurrencies 
 Alert Time: 2022-06-16 22:30:05
#Bitcoin: $21,077.64637
#Ethereum: $1,112.33040
#Tether: $1.00225
#USDCoin: $1.00688
#BinanceCoin: $217.22217
#instavenezuela #ico #investments #proofofstake

https://t.co/PFpyoSBGBe",top 5 alert time 2022 06 16 22 30 05 21 077 64637 1 112 33040 1 00225 1 00688 217 22217,0.5,0.5,Positive
"Circle Launches Euro-Backed Stablecoin (via @decryptmedia) https://t.co/adqLFcZCAp

#stablecoin #USDCoin $usdc #crypto #EuroCoin #CryptoNews",circle launches euro backed stablecoin via usdc,0.0,0.0,Neutral
"USDCoin - USDC
Price: $1.00
Change in 1h: -0.00463143%
Market cap: $54,645,484,434.25
Ranking: 4
#USDCoin #USDC",usdcoin usdc price 1 00 change 1h 0 00463143 market cap 54 645 484 434 25 ranking 4,0.0,0.0,Neutral
