Tweets,Cl_Tweets,Subjectivity,Polarity,Sentiment
"Free Tron cloud mining site
#TRON #TronNetwork #TRXUSDT #cryptocurrency 
 https://t.co/21D42FtlMB",free tron cloud mining site,0.8,0.4,Positive
"@MUCHTambourine Off course you can ! #pay in #shiba,#doge,#tron,bttc",off course you can bttc,0.0,0.0,Neutral
"TRX price is recovering slightly to 0.06 USD after falling to 0.046 USD on June 15, the lowest level since June 2021.
#TRON https://t.co/0HNOwfAzlZ",trx price is recovering slightly 0 06 usd after falling 0 046 usd june 15 lowest level since june 2021,0.16666666666666666,-0.16666666666666666,Negative
"As of the evening of June 16, the TRON DAO Reserve fund has more than 14,000 BTC, 140 million USDT and 780 million USDC remaining, with a total value of about $1.2 billion - nearly double the supply of 723 million USDD in issue.
#TRON https://t.co/VxX4CYNoXg",as evening june 16 tron dao reserve fund has more than 14 000 btc 140 million usdt 780 million usdc remaining with total value about 1 2 billion nearly double supply 723 million usdd issue,0.4166666666666667,0.16666666666666666,Positive
"#CryptoTrends 
#Bitcoin Hit $22k, #ThreeArrows #3AC Faces Insolvency, #Celsius CEO Speaks @Mashinsky, #Tether Conspiracy, #TRON Gains 15%
🔗https://t.co/HJPOt4HNqa https://t.co/GFpGnD2NkB",hit 22k faces insolvency ceo speaks conspiracy gains 15,0.0,0.0,Neutral
"Seriously, I will sell my soul to the first VR gaming company that produces a #TRON game in the Legacy style with Daft Punk's movie soundtrack. 
@BeatSaber @PlayStation @Disney https://t.co/ki4nUOMQZw",seriously i will sell my soul first vr gaming company that produces game legacy style with daft punks movie soundtrack,0.4666666666666666,-0.16111111111111112,Negative
"#TRON withdraws 7.1 billion #TRX from exchange, USDD selling price even now fails to rise to 1 USD.

#BLUX #Metaverse #NFTs #NFTCommunity #CryptocurrencyNews https://t.co/9ZaaXXERRz",withdraws 7 1 billion exchange usdd selling price even now fails rise 1 usd,0.3,-0.5,Negative
"@web3_coin @CoinMarketCap nice project i love it

#tron #bsc #CRYPTONEWS
@hendri
@ardiansyah
@lukman",nice project i love it,0.8,0.55,Positive
Back to coding @dCloudStorage  🧑‍💻🤓 #TRON #BTT #BTFS,back coding,0.0,0.0,Neutral
"Investing the same amount ($100) in #TRON 1 year ago at once (lump-sum), would result in $91.67 today!Bought for $0.07 per 1TRX.-8.33 https://t.co/0zwP9m3SQk",investing same amount 100 1 year ago at once lump sum would result 91 67 today bought 0 07 per 1trx 8 33,0.125,0.0,Neutral
"If you'd bought $50 of #TRON every year for the last 1 year, you'd have spent $100. Today, you would have $93.07 worth in #TRX https://t.co/8XuysZhHCS",if youd bought 50 every year last 1 year youd have spent 100 today you would have 93 07 worth,0.0888888888888889,0.06666666666666667,Positive
"🚀 TOP 10 CRYPTO MAP 🚀
#Tron #TRX
June, 17 2022 2:00 UTC https://t.co/cqLIGz8Z3T",top 10 crypto map june 17 2022 2 00 utc,0.5,0.5,Positive
@BONTESA_ #trx and #tron is a beast!,is beast,0.0,0.0,Neutral
@XRPPHOENIXX And #trx and #tron it’s a beast,it s beast,0.0,0.0,Neutral
@XRP_OWL Your missing out on #trx and #tron,your missing out,0.05,-0.2,Negative
@AlexCobb_ #trx and #tron is a beast!!!,is beast,0.0,0.0,Neutral
Someone sum up #Tron for me ? https://t.co/0VTGX6RsLf,someone sum up me,0.0,0.0,Neutral
@mrnguyen007 #trx and #tron and #xrp kaboom,kaboom,0.0,0.0,Neutral
@attorneyjeremy1 @EleanorTerrett Let’s go #tex #tron,let s go,0.0,0.0,Neutral
@BONTESA_ Let’s go #trx #tron it’s a beast,let s go it s beast,0.0,0.0,Neutral
@justinsuntron Let’s go #trx #tron,let s go,0.0,0.0,Neutral
Caught a few pics of the #TRON building at #MagicKingdom all lit up this evening. https://t.co/zNGF66xtBr,caught few pics building at all lit up this evening,0.1,-0.2,Negative
@thebearablebull Let’s go #tron #trx,let s go,0.0,0.0,Neutral
@FLGatorTrader Let’s gooo #trx #tron,let s gooo,0.0,0.0,Neutral
@jaydee_757 Let’s gooo #tron #trx your missing the boat,let s gooo your missing boat,0.05,-0.2,Negative
The #Tron building looks amazing at night in #MagicKingdom https://t.co/KzaTqtN9Wo,building looks amazing at night,0.9,0.6000000000000001,Positive
"📰 Happening now:

🐦 #ElonMusk during #Twitter meeting says ""it's essential to have free speech.""
🇺🇸 #Texas reportedly launches an investigation into #Celsius Network
🪙 #TRON DAO Reserve will withdraw another 3B #TRX to safeguard the overall #blockchain and #CryptoMarket.

GM",happening now during meeting says its essential have free speech reportedly launches investigation into network dao reserve will withdraw another 3b safeguard overall gm,0.3666666666666667,0.13333333333333333,Positive
"#Tron $TRX  just made made a two year high vs $BTC 

#crypto",trx just made made two year high vs btc,0.5399999999999999,0.16,Positive
"💰10,763,424 #USDT (10,763,424 USD) move from unknown wallet to unknown wallet
 
Date : 2022-06-17 01:42:51 (GMT 0)
Blockchain : #TRON
Symbol : #USDT
 
Detail: https://t.co/FJTtGqyFoj",10 763 424 10 763 424 usd move unknown wallet unknown wallet date 2022 06 17 01 42 51 gmt 0 blockchain symbol detail,0.6,-0.1,Negative
